CMDLINE /home/advice/miniconda3/envs/torch_exp_dataset/bin/python /home/docker/side/torchcsvdataset/test/vaex_test.py
MEM 288.750000 1626410830.5660
MEM 288.750000 1626410830.6794
MEM 288.750000 1626410830.7928
MEM 288.750000 1626410830.9038
MEM 288.750000 1626410831.0176
MEM 288.750000 1626410831.1300
MEM 288.750000 1626410831.2442
MEM 288.750000 1626410831.3585
MEM 288.750000 1626410831.4735
MEM 288.750000 1626410831.5834
MEM 288.750000 1626410831.6935
MEM 288.750000 1626410831.8053
MEM 288.750000 1626410831.9195
MEM 288.750000 1626410832.0332
MEM 288.750000 1626410832.1467
MEM 288.750000 1626410832.2604
MEM 288.750000 1626410832.3738
MEM 288.750000 1626410832.4875
MEM 288.750000 1626410832.6013
MEM 288.750000 1626410832.7129
MEM 288.750000 1626410832.8257
MEM 288.750000 1626410832.9368
MEM 288.750000 1626410833.0491
MEM 288.750000 1626410833.1625
MEM 288.750000 1626410833.2792
MEM 288.750000 1626410833.3934
MEM 288.750000 1626410833.5061
MEM 288.750000 1626410833.6185
MEM 288.750000 1626410833.7288
MEM 288.750000 1626410833.8425
MEM 288.750000 1626410833.9561
MEM 288.750000 1626410834.0681
MEM 288.750000 1626410834.1816
MEM 288.750000 1626410834.2914
MEM 288.750000 1626410834.4043
MEM 288.750000 1626410834.5177
MEM 288.750000 1626410834.6307
MEM 288.750000 1626410834.7445
MEM 288.750000 1626410834.8567
MEM 288.750000 1626410834.9704
MEM 288.750000 1626410835.0839
MEM 288.750000 1626410835.1975
MEM 288.750000 1626410835.3119
MEM 288.750000 1626410835.4256
MEM 288.750000 1626410835.5386
MEM 288.750000 1626410835.6523
MEM 288.750000 1626410835.7629
MEM 288.750000 1626410835.8764
MEM 288.750000 1626410835.9895
MEM 288.750000 1626410836.1008
MEM 288.750000 1626410836.2144
MEM 288.750000 1626410836.3264
MEM 288.812500 1626410836.4393
MEM 288.812500 1626410836.5521
MEM 288.812500 1626410836.6643
MEM 288.812500 1626410836.7777
MEM 288.812500 1626410836.8902
MEM 288.812500 1626410837.0030
MEM 288.812500 1626410837.1136
MEM 288.812500 1626410837.2294
MEM 288.812500 1626410837.3421
MEM 288.812500 1626410837.4552
MEM 288.812500 1626410837.5681
MEM 288.812500 1626410837.6816
MEM 288.812500 1626410837.7957
MEM 288.812500 1626410837.9079
MEM 288.812500 1626410838.0204
MEM 288.812500 1626410838.1329
MEM 288.812500 1626410838.2464
MEM 288.812500 1626410838.3587
MEM 288.812500 1626410838.4723
MEM 288.812500 1626410838.5860
MEM 288.812500 1626410838.6998
MEM 288.812500 1626410838.8135
MEM 288.812500 1626410838.9275
MEM 288.812500 1626410839.0414
MEM 288.812500 1626410839.1551
MEM 288.812500 1626410839.2688
MEM 288.812500 1626410839.3801
MEM 288.812500 1626410839.4923
MEM 288.812500 1626410839.6060
MEM 288.812500 1626410839.7185
MEM 288.812500 1626410839.8322
MEM 288.812500 1626410839.9467
MEM 288.812500 1626410840.0607
MEM 288.812500 1626410840.1713
MEM 288.812500 1626410840.2843
MEM 288.812500 1626410840.3965
MEM 288.812500 1626410840.5097
MEM 288.812500 1626410840.6219
MEM 288.812500 1626410840.7354
MEM 288.812500 1626410840.8488
MEM 288.812500 1626410840.9636
MEM 288.812500 1626410841.0771
MEM 288.812500 1626410841.1907
MEM 288.812500 1626410841.3052
MEM 288.812500 1626410841.4197
MEM 288.812500 1626410841.5346
MEM 288.812500 1626410841.6496
MEM 288.812500 1626410841.7622
MEM 288.812500 1626410841.8757
MEM 288.812500 1626410841.9882
MEM 288.812500 1626410842.1017
MEM 288.812500 1626410842.2150
MEM 288.812500 1626410842.3250
MEM 288.812500 1626410842.4390
MEM 288.812500 1626410842.5526
MEM 288.812500 1626410842.6638
MEM 288.812500 1626410842.7772
MEM 288.812500 1626410842.8908
MEM 288.812500 1626410843.0042
MEM 288.812500 1626410843.1193
MEM 288.812500 1626410843.2334
MEM 288.812500 1626410843.3457
MEM 288.812500 1626410843.4580
MEM 288.812500 1626410843.5707
MEM 288.812500 1626410843.6830
MEM 288.812500 1626410843.7961
MEM 288.812500 1626410843.9091
MEM 288.812500 1626410844.0188
MEM 288.812500 1626410844.1320
MEM 288.812500 1626410844.2449
MEM 288.812500 1626410844.3582
MEM 288.812500 1626410844.4680
MEM 288.812500 1626410844.5809
MEM 288.812500 1626410844.6948
MEM 288.812500 1626410844.8076
MEM 288.812500 1626410844.9209
MEM 288.812500 1626410845.0347
MEM 288.812500 1626410845.1476
MEM 288.812500 1626410845.2612
MEM 288.812500 1626410845.3748
MEM 288.812500 1626410845.4884
MEM 288.875000 1626410845.6006
MEM 288.875000 1626410845.7123
MEM 288.875000 1626410845.8257
MEM 288.875000 1626410845.9387
MEM 288.875000 1626410846.0521
MEM 288.875000 1626410846.1635
MEM 288.875000 1626410846.2768
MEM 288.875000 1626410846.3904
MEM 288.875000 1626410846.5057
MEM 288.875000 1626410846.6195
MEM 288.875000 1626410846.7338
MEM 288.875000 1626410846.8481
MEM 288.875000 1626410846.9603
MEM 288.875000 1626410847.0737
MEM 288.875000 1626410847.1877
MEM 288.875000 1626410847.3013
MEM 288.875000 1626410847.4148
MEM 288.875000 1626410847.5289
MEM 288.875000 1626410847.6442
MEM 288.875000 1626410847.7588
MEM 288.875000 1626410847.8719
MEM 288.875000 1626410847.9864
