CMDLINE /home/advice/miniconda3/envs/torch_exp_dataset/bin/python /home/docker/side/torchcsvdataset/test/pandas_test.py
MEM 260.324219 1626411433.8472
MEM 260.324219 1626411433.9618
MEM 260.324219 1626411434.0751
MEM 260.308594 1626411434.1890
MEM 260.324219 1626411434.3035
MEM 260.324219 1626411434.4192
MEM 260.816406 1626411434.5337
MEM 260.324219 1626411434.6488
MEM 260.324219 1626411434.7636
MEM 260.324219 1626411434.8792
MEM 260.324219 1626411434.9934
MEM 260.324219 1626411435.1075
MEM 260.324219 1626411435.2220
MEM 260.324219 1626411435.3355
MEM 260.324219 1626411435.4484
MEM 260.308594 1626411435.5630
MEM 261.820312 1626411435.6768
MEM 261.316406 1626411435.7879
MEM 260.324219 1626411435.9025
MEM 260.324219 1626411436.0167
MEM 260.324219 1626411436.1302
MEM 260.324219 1626411436.2445
MEM 260.324219 1626411436.3578
MEM 260.324219 1626411436.4726
MEM 260.390625 1626411436.5870
MEM 260.390625 1626411436.7000
MEM 260.375000 1626411436.8143
MEM 260.390625 1626411436.9250
MEM 260.390625 1626411437.0389
MEM 260.375000 1626411437.1520
MEM 260.390625 1626411437.2630
MEM 260.390625 1626411437.3778
MEM 260.390625 1626411437.4912
MEM 260.375000 1626411437.6054
MEM 260.375000 1626411437.7184
MEM 260.390625 1626411437.8291
MEM 260.390625 1626411437.9428
MEM 260.375000 1626411438.0538
MEM 260.375000 1626411438.1672
MEM 261.886719 1626411438.2814
MEM 260.390625 1626411438.3962
MEM 260.628906 1626411438.5104
MEM 259.953125 1626411438.6245
MEM 261.296875 1626411438.7384
MEM 259.953125 1626411438.8516
MEM 259.953125 1626411438.9670
MEM 260.792969 1626411439.0817
MEM 259.953125 1626411439.1934
MEM 261.296875 1626411439.3083
MEM 259.156250 1626411439.4226
MEM 259.953125 1626411439.5372
MEM 261.296875 1626411439.6516
MEM 259.953125 1626411439.7656
MEM 259.156250 1626411439.8773
MEM 259.894531 1626411439.9921
MEM 261.195312 1626411440.1059
MEM 259.894531 1626411440.2220
MEM 259.156250 1626411440.3377
MEM 259.625000 1626411440.4528
MEM 259.609375 1626411440.5688
MEM 259.609375 1626411440.6820
MEM 259.609375 1626411440.7967
MEM 259.609375 1626411440.9104
MEM 259.609375 1626411441.0248
MEM 260.875000 1626411441.1383
MEM 261.121094 1626411441.2519
MEM 261.121094 1626411441.3660
MEM 259.609375 1626411441.4798
MEM 259.625000 1626411441.5934
MEM 259.609375 1626411441.7081
MEM 259.609375 1626411441.8221
MEM 259.625000 1626411441.9351
MEM 259.625000 1626411442.0500
MEM 259.625000 1626411442.1645
MEM 259.625000 1626411442.2789
MEM 259.625000 1626411442.3932
MEM 259.625000 1626411442.5074
MEM 259.625000 1626411442.6210
MEM 259.625000 1626411442.7356
MEM 259.625000 1626411442.8508
MEM 261.121094 1626411442.9656
MEM 259.625000 1626411443.0805
MEM 259.625000 1626411443.1933
MEM 259.625000 1626411443.3071
MEM 259.625000 1626411443.4217
MEM 259.625000 1626411443.5355
MEM 259.625000 1626411443.6497
MEM 259.625000 1626411443.7634
MEM 259.625000 1626411443.8772
MEM 259.625000 1626411443.9912
MEM 259.625000 1626411444.1056
MEM 259.625000 1626411444.2187
MEM 259.625000 1626411444.3334
MEM 260.617188 1626411444.4471
MEM 259.863281 1626411444.5617
MEM 261.121094 1626411444.6762
MEM 259.625000 1626411444.7908
MEM 260.363281 1626411444.9029
MEM 259.625000 1626411445.0190
MEM 259.625000 1626411445.1334
MEM 259.625000 1626411445.2490
MEM 261.121094 1626411445.3644
MEM 261.121094 1626411445.4801
MEM 259.609375 1626411445.5950
MEM 261.121094 1626411445.7106
MEM 259.609375 1626411445.8261
MEM 259.609375 1626411445.9404
MEM 260.121094 1626411446.0525
MEM 259.625000 1626411446.1666
MEM 259.625000 1626411446.2808
MEM 259.625000 1626411446.3961
MEM 259.625000 1626411446.5110
MEM 261.121094 1626411446.6270
MEM 259.625000 1626411446.7429
MEM 261.121094 1626411446.8591
MEM 259.625000 1626411446.9752
MEM 261.121094 1626411447.0874
MEM 261.121094 1626411447.2030
MEM 259.609375 1626411447.3150
MEM 259.609375 1626411447.4303
MEM 259.625000 1626411447.5447
MEM 259.625000 1626411447.6599
MEM 259.609375 1626411447.7755
MEM 259.625000 1626411447.8897
MEM 259.625000 1626411448.0060
MEM 259.625000 1626411448.1221
MEM 259.625000 1626411448.2370
MEM 259.625000 1626411448.3519
MEM 259.625000 1626411448.4678
MEM 259.625000 1626411448.5829
MEM 260.617188 1626411448.6962
MEM 261.121094 1626411448.8115
MEM 260.121094 1626411448.9259
MEM 260.363281 1626411449.0401
MEM 261.121094 1626411449.1548
MEM 261.121094 1626411449.2680
MEM 261.121094 1626411449.3827
MEM 261.617188 1626411449.4974
MEM 261.617188 1626411449.6114
MEM 261.617188 1626411449.7262
MEM 261.617188 1626411449.8390
MEM 260.105469 1626411449.9536
MEM 260.121094 1626411450.0678
MEM 261.617188 1626411450.1817
MEM 260.121094 1626411450.2941
MEM 260.105469 1626411450.4085
MEM 260.105469 1626411450.5219
MEM 260.121094 1626411450.6354
MEM 260.121094 1626411450.7489
MEM 260.121094 1626411450.8630
MEM 260.121094 1626411450.9782
MEM 260.128906 1626411451.0911
MEM 260.136719 1626411451.2068
MEM 260.144531 1626411451.3208
MEM 260.644531 1626411451.4352
MEM 260.640625 1626411451.5464
MEM 261.570312 1626411451.6604
MEM 260.816406 1626411451.7754
MEM 260.832031 1626411451.8913
MEM 260.816406 1626411452.0071
MEM 260.832031 1626411452.1226
MEM 262.328125 1626411452.2368
MEM 261.570312 1626411452.3515
MEM 262.082031 1626411452.4670
MEM 262.328125 1626411452.5824
MEM 260.816406 1626411452.6961
MEM 260.816406 1626411452.8103
MEM 260.832031 1626411452.9250
MEM 260.832031 1626411453.0390
MEM 260.832031 1626411453.1538
MEM 262.328125 1626411453.2674
MEM 260.816406 1626411453.3817
MEM 262.328125 1626411453.4976
MEM 260.816406 1626411453.6120
MEM 260.832031 1626411453.7248
MEM 262.328125 1626411453.8388
MEM 261.570312 1626411453.9527
MEM 262.082031 1626411454.0668
MEM 260.816406 1626411454.1809
MEM 262.328125 1626411454.2949
MEM 260.832031 1626411454.4097
MEM 260.816406 1626411454.5246
MEM 260.816406 1626411454.6395
MEM 260.832031 1626411454.7531
MEM 260.832031 1626411454.8673
MEM 260.832031 1626411454.9817
MEM 260.832031 1626411455.0962
MEM 260.832031 1626411455.2104
MEM 262.328125 1626411455.3240
MEM 260.816406 1626411455.4376
MEM 260.832031 1626411455.5510
MEM 262.328125 1626411455.6648
MEM 260.816406 1626411455.7785
MEM 260.816406 1626411455.8931
